OSG Identifier,Institution Name,ROR Value,OSG Value
hcc-gpengine-shor-c5303.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5805.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5809.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5813.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5817.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5821.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5825.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5830.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5832.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5905.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5909.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5913.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5917.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5921.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5925.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c5930.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c6005.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c6009.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c6013.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c6017.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c6021.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c6025.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c6029.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-prp-c1312.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-nrp-shor-c1312.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-prp-c5027.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-prp-c5036.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-prp-c5038.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
k8s-a6000-01.unm.edu,University of New Mexico,https://ror.org/05fs6jp91,https://osg-htc.org/iid/pclpz1bwbpdi
igrok-mangilao.uog.edu,University of Guam,https://ror.org/00376bg92,https://osg-htc.org/iid/pe5ponomqp4t
k8s-dtn-01.uog.edu,University of Guam,https://ror.org/00376bg92,https://osg-htc.org/iid/pe5ponomqp4t
perfsonar.uog.edu,University of Guam,https://ror.org/00376bg92,https://osg-htc.org/iid/pe5ponomqp4t
gpn-fiona.usd.edu,University of South Dakota,https://ror.org/0043h8f16,https://osg-htc.org/iid/it45nx81xgfl
k8s-3090-01.usd.edu,University of South Dakota,https://ror.org/0043h8f16,https://osg-htc.org/iid/it45nx81xgfl
k8s-ceph-01.ampath.net,AMPATH Florida International University,https://ror.org/02gz6gg07,https://osg-htc.org/iid/gyqnlof5dslq
k8s-ceph-02.ampath.net,AMPATH Florida International University,https://ror.org/02gz6gg07,https://osg-htc.org/iid/gyqnlof5dslq
k8s-gen4-01.ampath.net,AMPATH Florida International University,https://ror.org/02gz6gg07,https://osg-htc.org/iid/gyqnlof5dslq
k8s-gen4-02.ampath.net,AMPATH Florida International University,https://ror.org/02gz6gg07,https://osg-htc.org/iid/gyqnlof5dslq
igrok-la.cenic.net,,,
igrok-sunnyvale.cenic.net,,,
losa4-nrp-01.cenic.net,,,
snvl2-nrp-01.cenic.net,,,
gpn-cisco1-nautilus.greatplains.net,Great Plains Network,https://ror.org/02g2frf98,https://osg-htc.org/iid/ssmtibyuojo6
gpn-cisco2-nautilus.greatplains.net,Great Plains Network,https://ror.org/02g2frf98,https://osg-htc.org/iid/ssmtibyuojo6
dtn-gpu2.kreonet.net,Korea Institute of Science & Technology Information,https://ror.org/01k4yrm29,https://osg-htc.org/iid/0899w228yttv
dtn2-daejeon.kreonet.net,Korea Institute of Science & Technology Information,https://ror.org/01k4yrm29,https://osg-htc.org/iid/0899w228yttv
nrp0.njedge.net,,,
ceph-1.gpn.onenet.net,Great Plains Network,https://ror.org/02g2frf98,https://osg-htc.org/iid/ssmtibyuojo6
swosu-brandy.offn.onenet.net,Southwestern Oklahoma State University,https://ror.org/01y8xtk20,https://osg-htc.org/iid/xpoj97mgs7iu
aarch64.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
nrp-ai-100-01.sdsc.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
controller0.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
controller0.sdsc.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
controller1.sdsc.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
edex.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
jupyter.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-3090-01.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-3090-02.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-4090-01.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-4090-02.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-a100-01.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-a40-01.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-a6000-01.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-chase-ci-02.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-chase-ci-03.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-chase-ci-04.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-chase-ci-06.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-chase-ci-07.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-chase-ci-10.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-gen4-05.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-gen4-sm.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-gpu-01.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-igrok-01.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-igrok-02.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-igrok-03.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-igrok-04.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-igrok-05.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-igrok-06.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-ravi-01.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-u200-00.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-usra-01.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-usra-02.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
knuron.calit2.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-altra-01.sdsc.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-bf2-01.sdsc.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-bharadia-01.sdsc.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-bharadia-02.sdsc.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-bharadia-03.sdsc.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-bharadia-04.sdsc.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
k8s-epyc-01.sdsc.optiputer.net,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
